"Rtn_Date","Target","Average","Variance","t_1","t_2","t_3","v_1","v_2","v_3","v_4","v_5","Cat","Estimate"
"2014-07-25",0.0161886976763281,0.002756,0.00013,0,-0.00724637681159424,-0.00833575716195001,31614000,33180400,26077000,42915100,32097200,4,0.0151166313928628
"2014-08-01",-0.0150024283135912,-0.002482,3.7e-05,-0.00442599599958693,-0.0133915291639899,0.00467970180402744,33472400,35431200,32782800,26141700,30972200,3,-0.0124192039480203
"2014-08-08",-0.0343719093716764,-0.006345,0.00024,-0.00244804161566714,-0.00517497748401685,0.000914015843997529,35484000,27820100,27923900,49845100,27250100,2,-0.0339355264482611
"2014-08-15",0.0470357805733569,0.007522,0.000154,0.00677663543832163,-0.00469205306111742,0.0292785080205702,28577600,25458000,36291000,24805600,27718600,4,0.0151166313928628
"2014-08-22",0.0222842684890942,0.004882,7.4e-05,-0.00597448045664406,0.0188406376811594,0.00465928945835747,21196700,37164900,27140300,29281900,27232200,5,0.039667916999274
"2014-08-29",-0.00057260238778667,-0.001084,2.4e-05,0.00779209190233243,-0.00402411600965447,-0.000287298858830498,32302800,18908900,17168900,19664700,18614500,4,0.0151166313928628
"2014-09-05",0.0022883877917824,0.001026,5.5e-05,0.00257805786307652,0.0098351171536013,0,20841900,27632400,26668800,32094800,32302800,4,0.0151166313928628
"2014-09-12",-0.0109165406263885,-0.001359,7.3e-05,-0.0114220731010852,0,0.00315095961042711,26732600,21949000,19964200,22333100,24859600,4,0.0151166313928628
"2014-09-19",0.00576041347701786,-0.000922,7.8e-05,-0.00995160704871234,0.00543161806746717,0.00143143429716575,46851900,23809600,26278900,20875700,22438000,4,0.0151166313928628
"2014-09-26",-0.016213499821187,-0.00432,9.6e-05,0.00351490930037812,-0.0175539856115107,0.00958750782030848,25882300,34639700,18829000,25690700,25447700,2,-0.0339355264482611
"2014-10-03",-0.00673597539187823,-0.000424,0.000271,0.0152147673031024,-0.0138276543790729,-0.0238368179207353,25834600,32910800,35086600,35274600,29003100,2,-0.0339355264482611
"2014-10-10",-0.0643230188368257,-0.007854,0.000747,-0.0508625535652157,-0.0189670557338781,0.0239019712010167,80917600,28185700,34960600,25972100,24321100,3,-0.0124192039480203
"2014-10-17",-0.0167487248526976,-0.011114,0.000738,0.0171798703403565,-0.0137468345988863,-0.0267578726433689,37504500,47787400,92305200,68671000,42110200,2,-0.0339355264482611
"2014-10-24",0.0557765693248438,0.012291,0.000199,0.0149893244108084,0.0130151533932443,-0.0104262799623954,27814300,22254900,26725600,33278400,30523700,4,0.0151166313928628
"2014-10-31",0.0247072554505706,0.00693,0.000743,0.0438918327874873,-0.0395046013858845,0.00533479517873192,52089700,55217900,24615200,21857800,23751900,3,-0.0124192039480203
"2014-11-07",-0.0127238290042145,0.005252,0.000489,-0.00709633353045536,0.00177731053183106,-0.022582599230382,27604500,25240600,34705500,34695900,28703600,4,0.0151166313928628
"2014-11-14",0.0109581722511312,0.000664,5.8e-05,0.00801665676959629,0.00898738738803506,0.00210147096663249,18104600,26449300,22864200,19676600,30653600,4,0.0151166313928628
"2014-11-21",0.0471758160623156,0.009413,0.000434,-0.0100139357437012,0.0465794204704175,-0.0103716799300398,56721600,61994700,21289600,30674800,17646300,5,0.039667916999274
"2014-11-28",0.045587245303467,0.013749,0.000366,0.00948504013631224,0.015969218061674,0.00193103448275855,19128500,24060000,29093200,33321100,56721600,5,0.039667916999274
"2014-12-05",0.0112120237857331,0.003465,4.2e-05,0.00560595316620249,0.000801469409564604,-0.00452122364474594,20527600,23359100,30660800,28361100,30904000,5,0.039667916999274
"2014-12-12",-0.0389764637043158,-0.005511,9.2e-05,-0.0128065664085405,0.00768816626513824,-0.0127406075559938,29322500,25088200,27499900,28487300,28134800,3,-0.0124192039480203
"2014-12-19",0.00385672659672328,-0.001383,0.000293,-0.0175581037277148,0.021523122432499,0.0191226372575186,76786800,32128100,31637700,31166300,30633400,4,0.0151166313928628
"2014-12-26",0.031929120075276,0.00603,0.000226,0.00293803426650729,0.000267138658829769,0.00591241617609284,14037200,12109100,22169700,29227100,76786800,4,0.0151166313928628
"2015-01-02",-0.032204054766957,-0.0048,5.2e-05,0.0019289059815677,-0.0127855556466572,-0.0112964497041419,23605600,20393600,15214100,12203300,14037200,3,-0.0124192039480203
"2015-01-09",0.0109409462684929,0.00225,0.000247,0.00190784960228552,0.0186007495835645,0.0209750856285458,22850500,31765400,27725200,30847600,32785000,4,0.0151166313928628
"2015-01-16",-0.00846875719101173,-0.001084,2.2e-05,0.00718436051904847,-0.00440162335084582,-0.00410964383561641,62812200,47181800,34250300,31478000,29400800,3,-0.0124192039480203
"2015-01-23",0,0.000506,0.000116,-0.012462720130046,0.0117872807017543,0.0108063175394844,27427100,31809900,27442600,35929400,62812200,4,0.0151166313928628
"2015-01-30",-0.0982225069703885,-0.01812,0.000403,-0.0342004686992247,0.0127294260725113,-0.0119918108216384,38719700,29569400,34929100,58456200,30906800,2,-0.0339355264482611
"2015-02-06",0.0078383880372471,-0.004326,0.000373,-0.0188568066840544,0.0101190779832785,-0.00296744798316184,29342400,20491400,25052800,36038300,38733800,3,-0.0124192039480203
"2015-02-13",0.0313357592632953,0.002165,0.000272,0.00673893915209667,0.0172876905301844,-0.00445109779076858,18037900,20056700,18364200,20200000,28705500,4,0.0151166313928628
"2015-02-20",0.00145409358972594,0.004275,0.000115,0.00584627319047848,-0.0017508316311643,-0.0135291299062099,20955600,11017500,19992900,19374100,18037900,4,0.0151166313928628
"2015-02-27",-0.0342924527075258,-0.004647,0.000206,-0.011887131537169,-0.00883649458508118,-0.0133681778552746,24427300,25928400,24686300,29607500,25565500,3,-0.0124192039480203
"2015-03-06",-0.00180617149953748,-0.002201,0.000219,-0.016009516750667,-0.011430217216595,0.000586539623844029,32373100,21225800,23005800,27332000,25406400,3,-0.0124192039480203
"2015-03-13",-0.0705220089053475,-0.014096,0.000578,0.00422081182535106,-0.0473245563053166,0.0198738479535063,47954700,107402400,49683600,50278900,33058800,1,-0.0565495335371696
"2015-03-20",0.0122109167026578,0.002783,0.000101,0.0185425829538062,-0.00485590821806114,0.00980709382151024,64777100,27414200,39834100,29215600,33074600,2,-0.0339355264482611
"2015-03-27",0.0217983994000904,0.007141,0.001038,0.0638297872340425,0.00635667468573686,-0.0292303335748512,73857200,45450100,37691000,28471400,29694000,2,-0.0339355264482611
"2015-04-02",-0.037896622648145,0.005427,0.000895,0,-0.0147106172049888,-0.00603938353589906,20909600,31532100,32098500,51391500,73857200,3,-0.0124192039480203
"2015-04-10",0.0357067265751091,0.006001,7.7e-05,0.0220870678617158,-0.00223567557443882,0.00159945617402424,28084900,34167600,18250300,23258300,21490900,4,0.0151166313928628
"2015-04-17",0.016770610185723,0.006644,0.000456,-0.0121690907261663,0.00121830635282927,0.0425532550015879,30593600,28903200,61083500,39754000,23489000,5,0.039667916999274
"2015-04-24",-0.0120837715699621,-0.004009,9.1e-05,-0.00834609016050014,-0.0107034553301696,0.00832565525747775,22759900,23775300,21144200,19023800,20649300,3,-0.0124192039480203
"2015-05-01",0.0409216179803899,0.005533,0.00023,0.0267280806982513,-0.0103374889126632,-0.00393703815869173,27091200,22013300,21819000,29572800,25869600,3,-0.0124192039480203
"2015-05-08",-0.0187259784205486,0.00142,0.000346,0.0173696329175166,0.000620763481664399,-0.0128675861785412,26926500,21475300,31985400,29779200,21397300,3,-0.0124192039480203
"2015-05-15",0.00577606096262717,0.003894,0.00013,0.000606642383783829,0.0101103557019104,0.0120929922480622,17149700,21098900,20470800,24530200,18358600,4,0.0151166313928628
"2015-05-22",0.0138472706046835,0.002434,5.4e-05,-0.00298056640776645,0.00539406668846465,0.00663640985602343,20845000,21269800,21359800,21867100,23689500,4,0.0151166313928628
"2015-05-29",0.0297473856110273,0.005418,0.000113,0.0132314327098755,0.0088994069682411,0.0184290343461653,43545500,27065700,30172700,28594500,20845000,5,0.039667916999274
"2015-06-05",-0.0790758411044483,-0.010869,0.000143,-0.0145466105061401,-0.0128322334249923,-0.0162308385933275,27778500,33761800,38138700,36351100,46734500,2,-0.0339355264482611
"2015-06-12",-0.0164664898535798,-0.005094,0.000191,-0.0166405023547881,0.000942803268384695,0.01824,31629800,24293600,33336800,33976700,38171600,3,-0.0124192039480203
"2015-06-19",0.0236641425824613,0.001207,0.000141,-0.00957384158203078,0.0134585285302495,0.00979778792028418,39008400,27722400,28194200,20254500,23175000,4,0.0151166313928628
"2015-06-26",-0.0332888559566709,-0.007057,0.000163,-0.0303219756173804,0.00250705108116578,-0.00560922405733888,62157200,22743300,23313900,17995900,23608400,3,-0.0124192039480203
"2015-07-02",-0.0149402261725866,-0.007073,0.000252,0.0125910868124586,-0.00788954635108485,0.000987199769239888,27105200,27178900,34412200,35194500,62157200,1,-0.0565495335371696
"2015-07-10",-0.0465511476961761,-0.005582,0.000181,0.00829588662288283,-0.0193220338983051,-0.0133779264214047,31423800,47167800,45223800,43833700,32468100,1,-0.0565495335371696
"2015-07-17",0.0102319789371596,0.003141,0.000129,-0.014381304347826,0.00707305466240982,0.00134910623946038,43697600,81166700,47852500,39778300,26452400,4,0.0151166313928628
"2015-07-24",-0.0490277237803942,-0.010509,4.9e-05,-0.0188811538461539,-0.000349563077610471,-0.00383001406093364,31621000,33775200,36387200,45191000,33812900,1,-0.0565495335371696
"2015-07-31",0.0312251995249225,0.002106,0.000183,0.0013836388792805,-0.00344708721130649,0.00172655392702192,27158800,26582400,26470200,33182400,42161100,4,0.0151166313928628
"2015-08-07",-0.00242095916273188,-0.000168,1.1e-05,-0.00448124784557047,-0.00377750673840971,-0.000343220059842886,25606100,27958200,23622700,25741700,26213600,3,-0.0124192039480203
